Name,Line,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
brooxsy,29.5,33,33.0,32.0,34.0,19.0,28.0,30.0,28.0,21.0,30.0,58.0,24.0,22.0,24.0,28.0
tarkky,28.0,22,34.0,30.0,19.0,41.0,24.0,27.0,39.0,21.0,37.0,31.0,27.0,22.0,14.0,24.0
slie9000,25.5,34,25.0,24.0,21.0,28.0,29.0,20.0,17.0,,,,,,,
ammar,31.0,27,45.0,45.0,40.0,28.0,29.0,38.0,38.0,32.0,30.0,43.0,33.0,25.0,18.0,24.0
cerber,29.5,29,39.0,36.0,27.0,26.0,19.0,24.0,20.0,41.0,46.0,43.0,34.0,26.0,34.0,34.0
bledard,30.5,31,47.0,36.0,27.0,39.0,27.0,36.0,21.0,30.0,34.0,46.0,28.0,23.0,26.0,31.0
gejmzilla,25.5,31,32.0,26.0,23.0,31.0,27.0,26.0,28.0,29.0,23.0,30.0,29.0,19.0,24.0,18.0
mol011,33.5,36,31.0,31.0,30.0,19.0,33.0,28.0,10.0,,,,,,,
folke,28.5,32,21.0,30.0,18.0,14.0,,,,,,,,,,
nickyb,33.5,47,25.0,23.0,27.0,25.0,15.0,,,,,,,,,
ga1de,27.0,18,19.0,26.0,20.0,,,,,,,,,,,
sinzey,24.5,25,19.0,20.0,20.0,26.0,24.0,,,,,,,,,
stesso,25.5,32,19.0,16.0,31.0,10.0,24.0,27.0,33.0,17.0,25.0,29.0,33.0,40.0,19.0,21.0
skejs,29.5,36,29.0,27.0,23.0,22.0,20.0,37.0,25.0,29.0,31.0,22.0,20.0,28.0,30.0,27.0
scr0b,31.5,50,47.0,21.0,18.0,32.0,32.0,37.0,39.0,26.0,23.0,36.0,34.0,33.0,12.0,22.0
dengzoe,23.5,32,37.0,27.0,9.0,16.0,14.0,26.0,28.0,23.0,33.0,23.0,27.0,24.0,15.0,23.0
fnl,28.5,46,32.0,28.0,26.0,32.0,28.0,33.0,28.0,29.0,28.0,26.0,28.0,26.0,22.0,36.0
st0m4k,28.5,35,35.0,40.0,18.0,26.0,28.0,25.0,34.0,21.0,37.0,43.0,23.0,22.0,22.0,28.0
nython,28.0,28,28.0,31.0,28.0,30.0,17.0,27.0,28.0,24.0,24.0,26.0,28.0,28.0,21.0,26.0
tomate,31.5,28,27.0,23.0,32.0,21.0,23.0,30.0,43.0,42.0,32.0,26.0,29.0,26.0,30.0,36.0
gbb,31.5,33,17.0,34.0,29.0,30.0,27.0,27.0,32.0,37.0,39.0,41.0,12.0,34.0,30.0,38.0
slashzz,27.5,40,23.0,20.0,23.0,10.0,25.0,35.0,39.0,19.0,21.0,36.0,24.0,26.0,28.0,15.0
destiny,29.0,22,16.0,28.0,19.0,30.0,23.0,30.0,31.0,27.0,23.0,30.0,17.0,23.0,33.0,40.0
pkl,24.5,21,32.0,22.0,25.0,14.0,23.0,35.0,18.0,30.0,28.0,16.0,37.0,15.0,25.0,24.0
hardzao,32.5,44,44.0,27.0,41.0,32.0,36.0,40.0,28.0,41.0,44.0,32.0,22.0,29.0,31.0,19.0
detr0ittj,31.0,32,37.0,27.0,30.0,33.0,38.0,30.0,32.0,24.0,49.0,23.0,27.0,19.0,28.0,24.0
xureba,28.0,27,28.0,24.0,29.0,30.0,24.0,31.0,39.0,21.0,30.0,21.0,30.0,20.0,20.0,27.0
lukiz,29.0,27,32.0,17.0,21.0,36.0,31.0,37.0,28.0,29.0,38.0,27.0,22.0,24.0,25.0,29.0
wood7,27.5,17,26.0,25.0,15.0,24.0,35.0,27.0,26.0,30.0,14.0,27.0,28.0,28.0,26.0,20.0
naitte,30.5,23,18.0,35.0,19.0,26.0,23.0,26.0,19.0,22.0,42.0,27.0,24.0,35.0,34.0,28.0
ksloks,31.0,19,23.0,44.0,31.0,32.0,38.0,41.0,29.0,35.0,29.0,41.0,32.0,27.0,33.0,31.0
pancc,29.5,20,27.0,37.0,23.0,22.0,20.0,27.0,31.0,28.0,24.0,31.0,22.0,17.0,33.0,33.0
tuurtle,27.0,26,26.0,20.0,20.0,22.0,24.0,34.0,40.0,38.0,25.0,29.0,37.0,30.0,34.0,23.0
meyern,26.5,37,26.0,22.0,24.0,16.0,24.0,23.0,20.0,25.0,24.0,19.0,27.0,26.0,22.0,29.0
zock,27.5,30,35.0,27.0,18.0,36.0,26.0,39.0,35.0,27.0,32.0,24.0,39.0,26.0,27.0,17.0
kaiser,27.0,26,,,,,,,,,,,,,,
cass1n,29.5,18,21.0,26.0,32.0,16.0,36.0,37.0,36.0,28.0,27.0,32.0,22.0,26.0,25.0,87.0
luchov,31.5,39,28.0,33.0,44.0,30.0,41.0,48.0,44.0,35.0,17.0,30.0,21.0,20.0,14.0,75.0
noktse,24.5,24,27.0,28.0,16.0,20.0,25.0,26.0,22.0,25.0,15.0,25.0,18.0,20.0,19.0,47.0
tomaszin,31.5,22,33.0,38.0,34.0,26.0,36.0,22.0,18.0,24.0,38.0,23.0,37.0,34.0,61.0,25.0
timo,31.0,30,29.0,,,,,,,,,,,,,
naz,24.5,25,20.0,40.0,17.0,34.0,17.0,21.0,21.0,27.0,23.0,33.0,20.0,30.0,29.0,20.0
abizz,28.0,31,32.0,34.0,25.0,32.0,32.0,19.0,14.0,30.0,16.0,32.0,34.0,32.0,25.0,27.0
